"","x"
"767",4
"768",1
"769",4
"770",9
"771",9
"772",5
"773",4
"774",3
"775",3
"776",5
"777",7
"778",7
"779",7
"780",13
"781",12
"782",9
"783",11
"784",8
"785",10
"786",5
"787",2
"788",7
"789",5
"790",5
"791",3
"792",3
"793",10
"794",13
"795",13
"796",2
"797",15
"798",15
"799",3
"800",10
"801",10
"802",11
"803",3
"804",5
"805",5
"806",4
"807",4
"808",7
"809",10
"810",15
"811",10
"812",10
"813",3
"814",11
"815",9
"816",10
"817",19
"818",2
"819",2
"820",1
"821",10
"822",15
"823",11
"824",10
"825",4
"826",4
"827",10
"828",10
"829",1
"830",1
"831",8
"832",11
"833",7
"834",7
"835",7
"836",7
"837",6
"838",6
"839",4
"840",7
"841",16
"842",4
"843",4
"844",9
"845",9
"846",1
"847",7
"848",7
"849",15
"850",4
"851",5
"852",13
"853",10
"854",10
"855",1
"856",14
"857",14
"858",2
"859",13
"860",13
"861",13
"862",1
"863",18
"864",18
"865",18
"866",14
"867",4
"868",16
"869",16
"870",1
"871",1
"872",13
"873",12
"874",5
"875",5
"876",18
"877",18
"878",18
"879",2
"880",1
"881",11
"882",1
"883",1
"884",1
"885",1
"886",5
"887",15
"888",15
"889",15
"890",11
"891",13
"892",1
"893",1
"894",5
"895",5
"896",14
"897",18
"898",5
"899",12
"900",12
"901",11
"902",5
"903",8
"904",5
"905",10
"906",5
"907",5
"908",5
"909",3
"910",14
"911",13
"912",3
"913",6
"914",2
"915",2
"916",16
"917",16
"918",11
"919",1
"920",1
"921",3
"922",5
"923",14
"924",10
"925",10
"926",10
"927",4
"928",10
"929",7
"930",1
"931",1
"932",2
"933",2
"934",7
"935",7
"936",5
"937",5
"938",2
"939",2
"940",2
"941",2
"942",2
"943",5
"944",4
"945",7
"946",17
"947",17
"948",10
"949",3
"950",3
"951",2
"952",2
"953",2
"954",3
"955",5
"956",5
"957",8
"958",8
"959",3
"960",13
"961",9
"962",9
"963",9
"964",7
"965",5
"966",9
"967",12
"968",5
"969",11
"970",5
"971",5
"972",13
"973",3
"974",17
"975",8
"976",5
"977",12
"978",7
"979",8
"980",9
"981",6
"982",3
"983",2
"984",4
"985",7
"986",7
"987",7
"988",7
"989",2
"990",14
"991",13
"992",5
"993",12
"994",2
"995",4
"996",16
"997",16
"998",13
"999",10
"1000",13
"1001",2
"1002",2
"1003",12
"1004",12
"1005",12
"1006",11
"1007",11
"1008",13
"1009",8
"1010",11
"1011",15
"1012",15
"1013",15
"1014",15
"1015",6
"1016",5
"1017",7
"1018",7
"1019",10
"1020",14
"1021",5
"1022",5
"1023",13
"1024",15
"1025",1
"1026",5
"1027",18
"1028",10
"1029",5
"1030",5
"1031",5
"1032",5
"1033",5
"1034",10
"1035",12
"1036",12
"1037",17
"1038",17
"1039",17
"1040",17
"1041",11
"1042",5
"1043",10
"1044",10
"1045",15
"1046",15
"1047",7
"1048",4
"1049",9
"1050",9
"1051",12
"1052",13
"1053",7
"1054",9
"1055",10
"1056",2
"1057",7
"1058",7
"1059",7
"1060",4
"1061",16
"1062",10
"1063",10
"1064",16
"1065",15
"1066",13
"1067",3
"1068",15
"1069",16
"1070",12
"1071",22
"1072",12
"1073",7
"1074",5
"1075",15
"1076",15
"1077",2
"1078",13
"1079",15
"1080",9
"1081",12
"1082",13
"1083",12
"1084",12
"1085",9
"1086",7
"1087",7
"1088",7
"1089",5
"1090",4
"1091",9
"1092",9
"1093",15
"1094",5
"1095",5
"1096",5
"1097",14
"1098",6
"1099",17
"1100",17
"1101",10
"1102",10
"1103",5
"1104",10
"1105",12
"1106",5
"1107",5
"1108",11
"1109",11
"1110",15
"1111",1
"1112",17
"1113",9
"1114",5
"1115",1
"1116",15
"1117",1
"1118",5
"1119",4
"1120",17
